,Real,Imaginario,Map,oReal,oImaginario
0,3.0637656878143464,-0.9650539090311686,9.0,3.0,-1.0
1,-0.9145156852029741,4.923785004503499,6.0,-1.0,3.0
2,1.2742800793764886,2.206066976547799,15.0,1.0,1.0
3,4.597828521523814,-0.649312351887122,9.0,3.0,-1.0
4,-0.37186850863041276,-3.7595721243882725,12.0,1.0,-3.0
5,-1.520736155360479,1.156955130463092,7.0,-1.0,1.0
6,-0.7947343709662944,2.7467640095281047,6.0,-1.0,3.0
7,4.2443549715497575,0.7673306208508226,11.0,3.0,1.0
8,-1.7312133876459943,2.0690518360295327,7.0,-1.0,1.0
9,0.4898240160503118,-3.9244530481802427,4.0,-1.0,-3.0
10,-0.9629461081380695,-0.04229918423353074,7.0,-1.0,1.0
11,2.3954042078661026,-1.7005558243071304,9.0,3.0,-1.0
12,-0.6390043277268447,-4.008439750412992,4.0,-1.0,-3.0
13,-1.5584708793824606,1.6533640714702122,7.0,-1.0,1.0
14,-4.275149312180659,1.324923215956551,3.0,-3.0,1.0
15,0.8904281357975924,2.0995885476242897,14.0,1.0,3.0
16,1.2183072533951371,-0.30634241892950365,13.0,1.0,-1.0
17,-1.5831569732049615,-3.830834200983833,0.0,-3.0,-3.0
18,-0.5199215686667551,0.8985922199964816,7.0,-1.0,1.0
19,-0.7551848397794312,1.2229838040837042,7.0,-1.0,1.0
20,-2.473895392277943,2.400686832500524,7.0,-1.0,1.0
21,-0.5299104485951073,2.8689820310274836,6.0,-1.0,3.0
22,2.19167855642437,0.28912149763605655,13.0,1.0,-1.0
23,-0.841887882606401,-1.1799234298968486,5.0,-1.0,-1.0
24,2.1035541386343373,-1.7586721323106471,13.0,1.0,-1.0
25,1.6008703589667865,-2.086102035885244,13.0,1.0,-1.0
26,-0.6068996162414609,0.69813306609535,7.0,-1.0,1.0
27,2.595747595661374,2.6160863957575424,10.0,3.0,3.0
28,0.3286706843606544,0.292438611257237,5.0,-1.0,-1.0
29,2.9046726768377646,3.0921459354175624,10.0,3.0,3.0
30,2.5533316143294464,4.568935785751704,14.0,1.0,3.0
31,-0.36617453029138725,2.8643226507370088,6.0,-1.0,3.0
32,-2.2982430314644433,-1.8925752072523871,1.0,-3.0,-1.0
33,-0.5933871804327615,-3.0489429151168204,4.0,-1.0,-3.0
34,2.2579340993109387,0.9729521487841382,13.0,1.0,-1.0
35,-1.448085364080936,-3.255275091345759,4.0,-1.0,-3.0
36,-0.43292310548989843,1.8335625329331378,7.0,-1.0,1.0
37,-0.876797557636841,-2.218978877502369,5.0,-1.0,-1.0
38,3.0156577875666377,0.9122031666457731,11.0,3.0,1.0
39,2.364446844428886,0.6823991016244904,15.0,1.0,1.0
40,-0.33155962496120495,0.728975531082972,15.0,1.0,1.0
41,1.0437292413033066,3.74250335437688,14.0,1.0,3.0
42,-3.01252495282023,3.9242638197159336,2.0,-3.0,3.0
43,2.446777946053673,2.433894997924719,11.0,3.0,1.0
44,-3.53121277370109,-4.3268056224189415,0.0,-3.0,-3.0
45,-0.39376255428328966,-2.3744513301433257,12.0,1.0,-3.0
46,-0.8368380455166173,-3.660299416187267,4.0,-1.0,-3.0
47,-2.4054126882087066,-1.16373700703427,1.0,-3.0,-1.0
48,-2.7223503824568205,-4.304257566875283,0.0,-3.0,-3.0
49,-2.1002790274273515,1.4439747859837697,3.0,-3.0,1.0
50,-2.413771694171532,-2.664966989378332,0.0,-3.0,-3.0
51,2.83007296433998,-3.5241399623351075,8.0,3.0,-3.0
52,1.5728282684402441,-3.723133947007677,12.0,1.0,-3.0
53,2.1923931954418476,2.656970846772094,14.0,1.0,3.0
54,0.9157044809648166,-1.6377068132854842,13.0,1.0,-1.0
55,2.888269307538211,-1.7437188081581354,9.0,3.0,-1.0
56,-1.2613748910121054,-1.4112208444971839,5.0,-1.0,-1.0
57,3.14148708261545,-0.865792881243072,9.0,3.0,-1.0
58,-1.037390222791739,-2.6650485921200655,5.0,-1.0,-1.0
59,-3.4015399448716788,-3.2815933414068024,0.0,-3.0,-3.0
60,0.05388267216236464,0.25233891179066026,13.0,1.0,-1.0
61,-3.565195265606972,-0.5450845274712285,1.0,-3.0,-1.0
62,-2.940965700425263,1.5759670529594403,3.0,-3.0,1.0
63,-1.6548957534648883,-3.057955154365254,0.0,-3.0,-3.0
64,0.18306505550801078,-2.8877755501731825,12.0,1.0,-3.0
65,3.0456916117387616,3.3514948015988906,10.0,3.0,3.0
66,-3.5442904241183917,2.8992881185589465,2.0,-3.0,3.0
67,-0.018423562937582405,-3.6348775556437127,4.0,-1.0,-3.0
68,-0.4062683302507475,1.7525990799721387,7.0,-1.0,1.0
69,2.399076396893497,-1.3493895301218592,9.0,3.0,-1.0
70,-0.936589453562638,0.43080139801747264,7.0,-1.0,1.0
71,-2.465071181344504,-2.8790895120274973,0.0,-3.0,-3.0
72,1.6767493177745267,-0.9356384838243332,13.0,1.0,-1.0
73,2.8546477976011855,2.7577337603254715,10.0,3.0,3.0
74,-0.9797323520154972,-3.388243945692038,4.0,-1.0,-3.0
75,3.2517733445592736,-1.1840426381170333,9.0,3.0,-1.0
76,-1.1790428023438957,-1.228243657362816,5.0,-1.0,-1.0
77,3.1063599676231903,-1.4946908744065537,9.0,3.0,-1.0
78,-1.1469453378837826,1.7663227034823525,7.0,-1.0,1.0
79,-0.5823941827761707,-2.756705927370936,4.0,-1.0,-3.0
80,-0.5579771099926554,-2.219318596240698,5.0,-1.0,-1.0
81,1.2453162668503837,-2.0095324457943877,8.0,3.0,-3.0
82,1.3142050311512805,2.8390156743713706,14.0,1.0,3.0
83,3.913291420334144,-0.2469767075169399,9.0,3.0,-1.0
84,2.850636233371621,-2.8964187834274755,8.0,3.0,-3.0
85,2.8644727028373427,3.8324100771736114,10.0,3.0,3.0
86,-4.192844323242648,-1.22634087859554,1.0,-3.0,-1.0
87,2.691219439285092,0.887884897201821,15.0,1.0,1.0
88,3.036949875231407,3.5833320506905664,10.0,3.0,3.0
89,3.2070772708986377,2.2900239265381543,10.0,3.0,3.0
90,-1.0870894362900476,1.9802669383136173,7.0,-1.0,1.0
91,-2.5330371526763638,-0.020508874537158217,1.0,-3.0,-1.0
92,-1.2637401154411667,0.5717796694422477,5.0,-1.0,-1.0
93,-3.07733921344804,0.6562579387009735,3.0,-3.0,1.0
94,3.3116446924584957,2.08213545759521,10.0,3.0,3.0
95,-2.8397305291704744,3.942649116624555,2.0,-3.0,3.0
96,1.5296124129095783,2.1491010021190933,15.0,1.0,1.0
97,0.4656343764329127,2.386958728158196,15.0,1.0,1.0
98,0.11910253468597154,-3.051374548277254,12.0,1.0,-3.0
99,-1.0030790785505468,0.956739406990059,7.0,-1.0,1.0
100,0.40091500365461763,-0.16916804231186655,13.0,1.0,-1.0
101,2.8376712678245464,-1.6815543844154353,9.0,3.0,-1.0
102,0.5826268030589051,-0.437430504697369,15.0,1.0,1.0
103,-3.4178123996778846,1.424659664001048,3.0,-3.0,1.0
104,-4.486102970436277,-4.2792891029662625,0.0,-3.0,-3.0
105,0.8162295704812563,1.6808179395293317,15.0,1.0,1.0
106,3.8030300334047196,0.6678144432404485,11.0,3.0,1.0
107,1.0179595966271537,3.2039486227285314,14.0,1.0,3.0
108,3.4768285648660693,-0.7988184445506081,9.0,3.0,-1.0
109,-3.8430388355288545,-2.1943006627173407,0.0,-3.0,-3.0
110,2.6425591933985735,0.6522807287270217,11.0,3.0,1.0
111,0.6528603911646509,0.8590537267877254,15.0,1.0,1.0
112,0.6404540375498269,-3.0478070634980736,12.0,1.0,-3.0
113,3.115410511911782,-3.0180552226132127,8.0,3.0,-3.0
114,3.512926262402718,-2.887032876186881,8.0,3.0,-3.0
115,0.434496798344815,-2.0997975941029585,12.0,1.0,-3.0
116,-1.6295172580759338,-2.9645019887463904,4.0,-1.0,-3.0
117,-1.7897290217687696,-0.1264035818608532,1.0,-3.0,-1.0
118,1.7185602611750754,-1.1379499352957128,9.0,3.0,-1.0
119,-2.5193907247076774,-3.45016202430636,0.0,-3.0,-3.0
120,-1.813346806574582,4.163978200803923,6.0,-1.0,3.0
121,0.9113631489771141,-0.06514630123276677,13.0,1.0,-1.0
122,-3.7785328232809796,-0.5100864457199448,1.0,-3.0,-1.0
123,1.5793422301690812,-0.435632149639936,13.0,1.0,-1.0
124,1.7635714145744692,-3.439591954334338,12.0,1.0,-3.0
125,2.184075990106513,-0.3970458673734514,13.0,1.0,-1.0
126,-3.01862631524447,0.5128564898495036,3.0,-3.0,1.0
127,4.092434286016513,3.89788680044328,10.0,3.0,3.0
128,1.645238686978952,-3.2124329251571067,12.0,1.0,-3.0
129,1.7033745925829282,-2.681893914931449,12.0,1.0,-3.0
130,2.8739168350235045,-2.8013083858919994,8.0,3.0,-3.0
131,-0.3340479326767902,3.6571101864562707,6.0,-1.0,3.0
132,-2.85100147175885,0.9908140239501229,3.0,-3.0,1.0
133,0.11803865831601557,-2.455729182930111,4.0,-1.0,-3.0
134,-3.939680989252959,3.028437388617391,2.0,-3.0,3.0
135,0.9241415621128298,-2.854784165738044,12.0,1.0,-3.0
136,1.3914610434592145,-3.9661004169990317,8.0,3.0,-3.0
137,1.0507637714057996,-3.477713707451469,12.0,1.0,-3.0
138,-2.116920738088271,-1.2371675602934427,5.0,-1.0,-1.0
139,1.074903865727605,-3.555465141346595,12.0,1.0,-3.0
140,2.100590210444279,0.14384392506715282,9.0,3.0,-1.0
141,1.170778028869722,2.162155643452174,14.0,1.0,3.0
142,2.853115986144589,0.28734892533652345,11.0,3.0,1.0
143,-1.3370403438006913,2.6186404872505653,3.0,-3.0,1.0
144,-1.3659243486164652,-3.119019656391079,4.0,-1.0,-3.0
145,-0.27197584334584934,0.7136525659795823,7.0,-1.0,1.0
146,3.2399081297338412,1.5210031570669829,11.0,3.0,1.0
147,3.1273101658651474,2.622493637001149,10.0,3.0,3.0
148,2.494367307908803,-1.3209445766984325,9.0,3.0,-1.0
149,4.579590470296802,0.46342770781804055,11.0,3.0,1.0
150,-1.935804649280691,3.0824970130775324,2.0,-3.0,3.0
151,3.3132674070870345,2.651566685282398,10.0,3.0,3.0
152,3.219905762549187,2.0172020885181188,11.0,3.0,1.0
153,2.855512115027285,-2.8568568606702467,8.0,3.0,-3.0
154,-3.7021379709484843,-3.1989041549608777,0.0,-3.0,-3.0
155,-0.5033722069762747,-2.966408674530023,4.0,-1.0,-3.0
156,-2.0111061654657263,-2.6929525006923685,0.0,-3.0,-3.0
157,0.4529277721848246,-1.0869249145608373,5.0,-1.0,-1.0
158,0.3648019687583133,0.9456512427578249,7.0,-1.0,1.0
159,-1.0004369122665926,2.7913691460543117,6.0,-1.0,3.0
160,1.6829533240523835,-2.1012059177082207,8.0,3.0,-3.0
161,3.26474104482932,-2.1165441697988676,9.0,3.0,-1.0
162,-2.6608220327297336,0.30232633458998137,1.0,-3.0,-1.0
163,-0.7055968812114677,3.0313877963949274,6.0,-1.0,3.0
164,-2.1711335932200644,2.230433250453748,3.0,-3.0,1.0
165,1.3732793984869789,0.8674517394390623,15.0,1.0,1.0
166,1.3531427231031057,-2.792403612449859,12.0,1.0,-3.0
167,1.8909605782627439,3.500857700323561,10.0,3.0,3.0
168,-2.862373403011286,-3.7304685479628317,0.0,-3.0,-3.0
169,-3.4253655361369586,-3.822508270825159,0.0,-3.0,-3.0
170,2.8392617072110853,-2.3694003203723013,9.0,3.0,-1.0
171,1.5726856448742896,-1.3932364622935627,9.0,3.0,-1.0
172,-0.42600974718719986,4.349012704047432,6.0,-1.0,3.0
173,3.199017499712929,2.0383360051653967,10.0,3.0,3.0
174,1.4666115385478076,-1.8576570350121318,13.0,1.0,-1.0
175,4.165303447685369,-2.193828044600142,8.0,3.0,-3.0
176,1.178425886178872,-1.1685517890718742,13.0,1.0,-1.0
177,0.18640862736182118,1.208886407772874,15.0,1.0,1.0
178,1.2789105284112665,-2.693689180786321,12.0,1.0,-3.0
179,1.9395862087579194,1.6593160127290618,11.0,3.0,1.0
180,-1.5416073552274892,2.5419624373089293,6.0,-1.0,3.0
181,-1.66477775925796,-1.0749801133203913,7.0,-1.0,1.0
182,3.798552118664401,2.058857922199431,11.0,3.0,1.0
183,-2.6830799126416327,-0.26461086100155506,1.0,-3.0,-1.0
184,-2.8208037924459886,-3.6849101809718703,0.0,-3.0,-3.0
185,3.387184133318239,-1.455219401575466,8.0,3.0,-3.0
186,1.0717281283685551,-0.1357666718552969,13.0,1.0,-1.0
187,0.9106508880274007,2.7716395664484823,14.0,1.0,3.0
188,-0.3254829334534415,-2.0748857257905655,13.0,1.0,-1.0
189,-0.5492721133985321,3.5095756618690332,6.0,-1.0,3.0
190,0.21852170150528671,-2.64466621601863,4.0,-1.0,-3.0
191,-3.921636527564177,-1.127967043407081,1.0,-3.0,-1.0
192,-1.668326238460347,-0.011627955504981857,7.0,-1.0,1.0
193,1.8263324342189347,2.196397855081831,15.0,1.0,1.0
194,0.57526819793283,0.9243499586875948,7.0,-1.0,1.0
195,-0.6883650121676722,0.2912053622502204,7.0,-1.0,1.0
196,1.3985367039736285,0.1583984619525527,13.0,1.0,-1.0
197,-1.537954639325584,1.3893815101021931,7.0,-1.0,1.0
198,3.2483939722041417,-3.1751098466572936,8.0,3.0,-3.0
199,-0.9718619175417303,2.2292819039679657,6.0,-1.0,3.0
200,-2.1278657358209045,-3.920074825905207,0.0,-3.0,-3.0
201,2.538427035376171,0.5706980969826636,11.0,3.0,1.0
202,2.4108882449339593,0.4091104092150566,11.0,3.0,1.0
203,2.957901503888274,2.502056930505196,10.0,3.0,3.0
204,1.9138889484655663,3.9593471891557757,10.0,3.0,3.0
205,3.394425709871351,4.145886584373912,10.0,3.0,3.0
206,2.266879533953932,0.8968863638408643,11.0,3.0,1.0
207,2.0693462786879993,3.248040935915587,14.0,1.0,3.0
208,3.518299084474553,1.449507082569867,10.0,3.0,3.0
209,-2.6787392045481746,0.004499302242802816,1.0,-3.0,-1.0
210,-2.818144652805551,2.182120784509863,2.0,-3.0,3.0
211,1.0344617778064442,1.2106481417906987,15.0,1.0,1.0
212,-3.30628481914903,3.9502870475408267,2.0,-3.0,3.0
213,2.2158256084013583,-2.5195346468857456,12.0,1.0,-3.0
214,-0.4703156459641482,-1.2821359099189344,13.0,1.0,-1.0
215,-1.1799378400406977,1.3306504063193936,7.0,-1.0,1.0
216,-0.264907257857647,-2.1657265756945208,5.0,-1.0,-1.0
217,-0.534431138776843,2.8878841363250984,6.0,-1.0,3.0
218,1.0914274124108092,3.310498496865114,14.0,1.0,3.0
219,-2.7592658112761455,4.566321373426632,2.0,-3.0,3.0
220,4.583364671326437,-3.997987336589241,8.0,3.0,-3.0
221,1.4019593869192872,3.6216629628477586,14.0,1.0,3.0
222,2.671948255433294,-1.8351908678906226,8.0,3.0,-3.0
223,0.27857559078087935,3.04413666804432,6.0,-1.0,3.0
224,-2.4366136535293665,-2.982592511352383,0.0,-3.0,-3.0
225,3.934165720938951,-2.8341007707395276,8.0,3.0,-3.0
226,-2.4655902094589583,-0.7862151838944214,1.0,-3.0,-1.0
227,3.7066774877631152,1.5973437669588846,10.0,3.0,3.0
228,-1.053215417096315,4.0920597907565135,6.0,-1.0,3.0
229,-1.3114773137910616,2.621441945420802,6.0,-1.0,3.0
230,-1.3882628699440132,1.5726009338546296,6.0,-1.0,3.0
231,-0.8511036041612585,1.1988924400169487,7.0,-1.0,1.0
232,1.0849847756058533,-3.5099021358099547,12.0,1.0,-3.0
233,3.268175594836331,3.1561595092671473,10.0,3.0,3.0
234,-2.217363806793589,0.26846339901787386,3.0,-3.0,1.0
235,2.8347775133114546,3.7609548925103073,10.0,3.0,3.0
236,-2.179926287945417,-1.3686789035522797,5.0,-1.0,-1.0
237,0.03950441374875446,-3.585848049833511,12.0,1.0,-3.0
238,-2.6529021876706533,0.8910222090153002,3.0,-3.0,1.0
239,1.3904758629332767,-3.0107302292953655,12.0,1.0,-3.0
240,3.514340699349687,1.939037031794716,11.0,3.0,1.0
241,1.6711641784002118,2.9352980109111493,10.0,3.0,3.0
242,0.6045877199401744,2.8593595470818687,14.0,1.0,3.0
243,2.9193446993676364,-3.5696287974146923,8.0,3.0,-3.0
244,-3.7724554085592064,1.0834191600132734,3.0,-3.0,1.0
245,4.012490162951753,-1.4322054001378923,9.0,3.0,-1.0
246,0.02566151088498758,-1.6636972627956956,5.0,-1.0,-1.0
247,3.528724541037583,3.1840963416921015,10.0,3.0,3.0
248,0.5188888696827628,-0.8828208741265466,13.0,1.0,-1.0
249,2.110018079295184,-3.692866463064253,12.0,1.0,-3.0
250,0.14687761082139983,-3.3163529464382986,12.0,1.0,-3.0
251,-1.2805638579706418,-1.1706070757636933,5.0,-1.0,-1.0
252,-1.8971538020666912,1.8988958537436398,6.0,-1.0,3.0
253,-1.6047367846096796,2.829029433666772,6.0,-1.0,3.0
254,2.420217393443335,2.5712808790130395,10.0,3.0,3.0
255,3.948318493845542,2.6412651406143173,10.0,3.0,3.0
256,3.416248306303066,-1.0118870814914271,9.0,3.0,-1.0
257,-2.7181680325962096,-1.6449998099132086,1.0,-3.0,-1.0
258,1.5795018989553284,-0.34768719355209776,13.0,1.0,-1.0
259,-1.059480249511149,2.5922019292789655,6.0,-1.0,3.0
260,-0.5558396530904441,0.5473338427051673,15.0,1.0,1.0
261,3.15834318290448,-4.163922661343319,8.0,3.0,-3.0
262,2.878287612510622,-2.928134776819944,8.0,3.0,-3.0
263,-3.2037061776814713,2.0646052968467394,2.0,-3.0,3.0
264,-2.817039764435726,2.445557649422239,2.0,-3.0,3.0
265,1.354321623326439,3.485918097215114,14.0,1.0,3.0
266,-3.1198565847607598,1.2367713983249822,3.0,-3.0,1.0
267,2.262907929936588,1.620644399640717,10.0,3.0,3.0
268,-1.2453766857230417,-2.841518177042127,4.0,-1.0,-3.0
269,3.23831341475523,0.05295430197165851,9.0,3.0,-1.0
270,-1.738316535467796,-2.180269915530735,4.0,-1.0,-3.0
271,-0.7923270798970492,0.3749981842813397,5.0,-1.0,-1.0
272,-0.5320684644524512,3.009851471762983,6.0,-1.0,3.0
273,2.4059796688058994,1.7622148968248155,11.0,3.0,1.0
274,0.3455207118209265,-4.009965807856209,12.0,1.0,-3.0
275,-2.149456927115224,2.9083699806077075,2.0,-3.0,3.0
276,-3.788438485099107,1.034346954292885,3.0,-3.0,1.0
277,-2.095751799011972,4.140602939231824,6.0,-1.0,3.0
278,0.48060416010896145,-2.832653620538342,12.0,1.0,-3.0
279,3.0999994234494297,-2.961408562085398,8.0,3.0,-3.0
280,-0.8937602736332234,2.9975462950328056,6.0,-1.0,3.0
281,-2.7074001757781034,3.018756102498232,2.0,-3.0,3.0
282,2.8601319936340035,3.178310972860971,14.0,1.0,3.0
283,-3.2066825821884324,3.948889730426195,2.0,-3.0,3.0
284,0.12023442217415714,0.11711966333496338,13.0,1.0,-1.0
285,0.3923186160852177,1.2939132782071259,15.0,1.0,1.0
286,-1.3633290492611785,-3.1524815363238545,4.0,-1.0,-3.0
287,-1.0920758450317316,1.178143552472014,7.0,-1.0,1.0
288,2.4317073243938996,-0.35165097812953083,9.0,3.0,-1.0
289,-3.314076422261213,-1.8533909850534684,0.0,-3.0,-3.0
290,2.5763603255868444,1.3564758332629892,11.0,3.0,1.0
291,-0.7826298931041415,1.658459844876662,6.0,-1.0,3.0
292,-3.802068943339121,-2.9539273121687053,0.0,-3.0,-3.0
293,0.36369212482649704,3.643837353656473,14.0,1.0,3.0
294,2.4287159162688927,-1.286841819005903,9.0,3.0,-1.0
295,-0.2986127577525062,-4.125052246732546,4.0,-1.0,-3.0
296,1.7824852768191994,2.059413831848291,15.0,1.0,1.0
297,-0.26163748378570895,-4.233701065573356,12.0,1.0,-3.0
298,-2.946865580558805,2.6785852505825702,2.0,-3.0,3.0
299,2.615040998861148,-1.4342902409725242,9.0,3.0,-1.0
300,1.7178503263394596,0.40856801464764003,15.0,1.0,1.0
301,-3.349748356696729,-4.822507224416576,0.0,-3.0,-3.0
302,-3.218196744814146,-4.334287268512412,0.0,-3.0,-3.0
303,3.0514105873068007,-3.391665965961723,8.0,3.0,-3.0
304,1.2315785236248953,-0.6858309188442806,5.0,-1.0,-1.0
305,-2.986034815098595,3.3554391388203118,2.0,-3.0,3.0
306,-2.844521592115448,4.237352402910915,2.0,-3.0,3.0
307,1.2198396695995282,0.8978736289615434,11.0,3.0,1.0
308,3.17899822245255,-1.132260422876999,9.0,3.0,-1.0
309,0.9229515173416174,3.569146524334623,14.0,1.0,3.0
310,-2.498393187653276,-2.541407792112517,0.0,-3.0,-3.0
311,-2.3731708769197937,-1.6594684384000902,1.0,-3.0,-1.0
312,3.8751379049963166,1.554430851006668,11.0,3.0,1.0
313,3.510630974799178,1.0897373610849501,11.0,3.0,1.0
314,-2.961137741074501,-4.592500638208843,0.0,-3.0,-3.0
315,1.1206324130045786,-1.0556249758061507,13.0,1.0,-1.0
316,1.0388075596113768,-1.4212744358561975,9.0,3.0,-1.0
317,4.288094127667531,-2.4208663225619302,8.0,3.0,-3.0
318,-1.5798668291587936,1.800823543081603,6.0,-1.0,3.0
319,-2.374697534309079,2.582132013245138,2.0,-3.0,3.0
320,0.37223124403223573,-3.5281569720756556,12.0,1.0,-3.0
321,0.966238140800892,-3.22182363056104,12.0,1.0,-3.0
322,0.8889688803292224,-0.042776390613213255,15.0,1.0,1.0
323,-2.77175366270007,-0.3826200205082816,1.0,-3.0,-1.0
324,-2.1733868162884615,-0.6494396963294996,1.0,-3.0,-1.0
325,2.9374328927846514,1.2941643974188604,11.0,3.0,1.0
326,3.736642376797702,0.1236492650197738,9.0,3.0,-1.0
327,-1.4325321706015615,-3.7533603600239545,4.0,-1.0,-3.0
328,-1.1099422162106638,0.03428789733583093,1.0,-3.0,-1.0
329,-3.5434393062476484,-2.172809487846602,0.0,-3.0,-3.0
330,3.34276187052245,0.5997070354960679,11.0,3.0,1.0
331,-2.4625095498433764,1.3174556847463665,3.0,-3.0,1.0
332,3.4985565887876136,0.7042918620070335,11.0,3.0,1.0
333,-0.46808835876958677,2.547316145899027,14.0,1.0,3.0
334,-3.3943592447198685,0.9014844441422779,3.0,-3.0,1.0
335,3.138994961509458,1.1338056681146924,11.0,3.0,1.0
336,3.717902415926516,0.796976501445237,11.0,3.0,1.0
337,1.074964590048723,-0.7544056872333507,13.0,1.0,-1.0
338,2.4057229288290154,2.0205451447093465,10.0,3.0,3.0
339,-1.485158776356801,1.1330349641097355,7.0,-1.0,1.0
340,3.753139175899821,0.9522534349845857,11.0,3.0,1.0
341,3.1097815098968282,0.40589320422341546,11.0,3.0,1.0
342,3.738673841609101,3.565428198976729,10.0,3.0,3.0
343,3.8382788248634485,-1.4231043824577365,9.0,3.0,-1.0
344,2.9696466398513963,-2.823130994247278,8.0,3.0,-3.0
345,-3.2959445825989278,2.7612803906026415,2.0,-3.0,3.0
346,1.409900763836416,2.9254458787029565,14.0,1.0,3.0
347,0.1811738855442342,-1.5310319925384812,5.0,-1.0,-1.0
348,-1.7589286871773786,-2.2938298608188417,4.0,-1.0,-3.0
349,0.6832153619746336,3.618275270791649,14.0,1.0,3.0
350,1.2127927495448847,-2.8514666257313506,12.0,1.0,-3.0
351,-1.2280242074533307,-2.4174464145245906,4.0,-1.0,-3.0
352,-0.6396020140959833,-2.7177618619496435,4.0,-1.0,-3.0
353,-2.1775670221335246,3.114543108402428,2.0,-3.0,3.0
354,-1.4355797326767588,-3.2436155477828836,4.0,-1.0,-3.0
355,3.3037688314461127,1.921342313018968,11.0,3.0,1.0
356,2.748678473884556,0.7936403821050149,11.0,3.0,1.0
357,3.0750147538000423,-2.3937300083070365,8.0,3.0,-3.0
358,-2.8084019493795593,-1.9297527749269245,1.0,-3.0,-1.0
359,2.2683966325299947,1.7322423360273556,11.0,3.0,1.0
360,4.451893955436919,0.2074949854275714,9.0,3.0,-1.0
361,-0.9166882125441181,-2.790154918604758,4.0,-1.0,-3.0
362,0.9486807029563094,-3.5814294046465296,12.0,1.0,-3.0
363,-0.6288929853049989,-3.777014027947751,4.0,-1.0,-3.0
